Channel,Sample,Reflectance (%)
B,Sample 1,1.6030362271842862
B,Sample 2,12.397652529417217
B,Sample 3,3.5887308903919215
B,Sample 4,8.256852705457241
B,Sample 5,7.9239709765588815
B,Sample 6,7.567615005095895
B,Sample 7,12.129254262021682
B,Sample 8,12.510215764847587
B,Sample 9,6.692421708514779
G,Sample 1,4.1918554127270795
G,Sample 2,30.106972006799104
G,Sample 3,8.25826968022947
G,Sample 4,21.82858785721874
G,Sample 5,20.8195729310528
G,Sample 6,19.968913736322108
G,Sample 7,31.369429246786357
G,Sample 8,31.525590672474234
G,Sample 9,26.289977159247844
R,Sample 1,6.882772115776602
R,Sample 2,35.15568043316922
R,Sample 3,10.506835585938726
R,Sample 4,27.918663698035896
R,Sample 5,27.524678729342412
R,Sample 6,26.081206685690994
R,Sample 7,36.91109285333501
R,Sample 8,37.06364451691807
R,Sample 9,31.23035947609939
NIR,Sample 1,8.857766549753501
NIR,Sample 2,35.303769836403326
NIR,Sample 3,11.944519388781242
NIR,Sample 4,30.86900002452724
NIR,Sample 5,30.74391111329131
NIR,Sample 6,28.595325108533025
NIR,Sample 7,23.78528856294916
NIR,Sample 8,35.63194427411641
NIR,Sample 9,9.998283093375193
