Channel,Sample,Reflectance (%)
B,Sample 1,1.4050798783539284
B,Sample 2,11.586738653424183
B,Sample 3,2.8244173692112255
B,Sample 4,10.82105785887516
B,Sample 5,9.649426800631328
B,Sample 6,7.019445663471533
B,Sample 7,6.729593101589868
B,Sample 8,12.690371867421183
B,Sample 9,6.011072102244293
G,Sample 1,3.46939182619774
G,Sample 2,29.6165568109431
G,Sample 3,7.207009420994401
G,Sample 4,29.370029168203306
G,Sample 5,26.97446374090589
G,Sample 6,18.421708854393668
G,Sample 7,18.900452610051293
G,Sample 8,34.601124149260734
G,Sample 9,25.65872632178898
R,Sample 1,5.264337439184082
R,Sample 2,29.04481544963857
R,Sample 3,8.437911232713375
R,Sample 4,27.57510087191662
R,Sample 5,26.744279098487194
R,Sample 6,19.319979133619363
R,Sample 7,20.558160351747564
R,Sample 8,33.663296675219044
R,Sample 9,25.231913638734813
NIR,Sample 1,7.754964658364187
NIR,Sample 2,31.77873287937239
NIR,Sample 3,10.294125262149496
NIR,Sample 4,25.122854257825647
NIR,Sample 5,24.66147114413691
NIR,Sample 6,19.37653729642959
NIR,Sample 7,18.36522279470782
NIR,Sample 8,31.008984283975867
NIR,Sample 9,8.35150040131528
