Channel,Sample,Reflectance (%)
B,Sample 1,12.38624593010636
B,Sample 2,8.838137074017801
B,Sample 3,33.89553776861298
B,Sample 4,20.467718146299113
B,Sample 5,20.49753418710658
B,Sample 6,9.743882135880183
B,Sample 7,11.489776969828524
B,Sample 8,6.005613197308445
B,Sample 9,11.638857173865858
B,Sample 10,30.646914477968316
B,Sample 11,5.8094899066637735
B,Sample 12,4.642688843064902
B,Sample 13,11.862146190579555
B,Sample 14,7.984735728239636
B,Sample 15,7.275113957021925
B,Sample 16,6.110300629476884
B,Sample 17,5.378813761667029
B,Sample 18,4.00528814846972
B,Sample 19,4.757977534187108
B,Sample 20,6.277933036683308
B,Sample 21,7.4202186889515955
B,Sample 22,7.249273388322119
B,Sample 23,6.05133112654656
B,Sample 24,3.6594220751031044
