Channel,Sample,Reflectance (%)
B,Sample 1,1.6706190338443738
B,Sample 2,12.451586346543245
B,Sample 3,3.400575065085334
B,Sample 4,8.187657969337577
B,Sample 5,7.927564130749205
B,Sample 6,7.600504252241828
B,Sample 7,12.151086838299102
B,Sample 8,12.538331385594446
B,Sample 9,6.8247436505640735
G,Sample 1,4.180152448741103
G,Sample 2,29.929964676511208
G,Sample 3,8.991167799851269
G,Sample 4,21.01815760118984
G,Sample 5,20.605262403059594
G,Sample 6,19.955747901837885
G,Sample 7,31.334320354828424
G,Sample 8,31.836450653351744
G,Sample 9,27.524274142143845
R,Sample 1,7.221588802644518
R,Sample 2,35.27275937820365
R,Sample 3,11.084905747222631
R,Sample 4,28.43946942276712
R,Sample 5,27.50036780551081
R,Sample 6,26.016022762934913
R,Sample 7,36.91575956649999
R,Sample 8,37.26557064250894
R,Sample 9,31.87257861372053
NIR,Sample 1,8.923458954133801
NIR,Sample 2,35.88299737072743
NIR,Sample 3,12.971078001752849
NIR,Sample 4,31.389862693543677
NIR,Sample 5,29.77139935728893
NIR,Sample 6,29.703476482617592
NIR,Sample 7,23.606485539000875
NIR,Sample 8,37.004820333041195
NIR,Sample 9,10.3754016944201
