Channel,Sample,Reflectance (%)
B,Sample 1,1.3965891283684846
B,Sample 2,11.674732319469776
B,Sample 3,2.9729077504046035
B,Sample 4,10.280966167441623
B,Sample 5,9.61584157525625
B,Sample 6,6.720879338248516
B,Sample 7,6.714449225473323
B,Sample 8,12.648659156883397
B,Sample 9,5.988787473989776
G,Sample 1,3.5143401666135867
G,Sample 2,29.824113377696573
G,Sample 3,6.8061777770328025
G,Sample 4,27.840516937930573
G,Sample 5,26.48565178765986
G,Sample 6,19.159224257865535
G,Sample 7,18.819007693726007
G,Sample 8,35.01784005766104
G,Sample 9,25.874462193466197
R,Sample 1,5.303751558088744
R,Sample 2,28.956793693069837
R,Sample 3,8.47476610025036
R,Sample 4,27.724710168859534
R,Sample 5,26.937727161348747
R,Sample 6,19.103609652160017
R,Sample 7,20.5647762211687
R,Sample 8,33.75839173280776
R,Sample 9,24.75534096841208
NIR,Sample 1,7.65810685129689
NIR,Sample 2,31.708949054459026
NIR,Sample 3,10.389325204092177
NIR,Sample 4,24.792549343804897
NIR,Sample 5,25.215717681099513
NIR,Sample 6,19.392115324997416
NIR,Sample 7,18.304743205538905
NIR,Sample 8,30.95406634287486
NIR,Sample 9,8.294409424408391
