Channel,Sample,Reflectance (%)
B,Sample 1,1.739055684186154
B,Sample 2,12.466271474878443
B,Sample 3,3.5562791155360034
B,Sample 4,8.516326580226904
B,Sample 5,7.897769506830286
B,Sample 6,7.581988770548739
B,Sample 7,12.13960662190322
B,Sample 8,12.487332947441539
B,Sample 9,6.689632553831906
G,Sample 1,4.028806856687263
G,Sample 2,29.965920669722937
G,Sample 3,8.630700418576838
G,Sample 4,21.559917081921466
G,Sample 5,20.646491528802073
G,Sample 6,20.05693681482958
G,Sample 7,31.309344229619292
G,Sample 8,31.53221128164241
G,Sample 9,26.76197807454654
R,Sample 1,7.079915074309978
R,Sample 2,35.1905000366059
R,Sample 3,11.40465334211875
R,Sample 4,28.11571564536203
R,Sample 5,27.267442711765135
R,Sample 6,26.01213558825683
R,Sample 7,36.871226297679186
R,Sample 8,37.13289113405081
R,Sample 9,31.92097225272714
NIR,Sample 1,9.200729562262643
NIR,Sample 2,36.83964621227264
NIR,Sample 3,13.427443533879671
NIR,Sample 4,31.660253847691383
NIR,Sample 5,30.530681591045372
NIR,Sample 6,31.429392364581247
NIR,Sample 7,24.226963821706974
NIR,Sample 8,38.13262042774335
NIR,Sample 9,10.633869678193085
