Channel,Sample,Reflectance (%)
B,Sample 1,2.717144738540994
B,Sample 2,22.210252291801165
B,Sample 3,5.764076436410587
B,Sample 4,18.580197288573274
B,Sample 5,18.725303550677854
B,Sample 6,13.719737120723046
B,Sample 7,12.898267785668171
B,Sample 8,24.313393673337636
B,Sample 9,11.42082220787605
G,Sample 1,3.137555243069506
G,Sample 2,27.34776817999196
G,Sample 3,6.873337685817597
G,Sample 4,23.15306599035757
G,Sample 5,24.375039172358374
G,Sample 6,16.673386902370428
G,Sample 7,17.1866909401366
G,Sample 8,31.561295701084774
G,Sample 9,23.889763961430294
R,Sample 1,3.7050631225696473
R,Sample 2,19.827231555958026
R,Sample 3,5.492737442071059
R,Sample 4,18.252467906035264
R,Sample 5,18.756416129547752
R,Sample 6,12.833682629308049
R,Sample 7,13.986203270654663
R,Sample 8,23.111542641027008
R,Sample 9,17.582425504714216
NIR,Sample 1,7.793024881547265
NIR,Sample 2,31.996219868989982
NIR,Sample 3,10.384227014991067
NIR,Sample 4,25.0218781555032
NIR,Sample 5,24.416021541568497
NIR,Sample 6,19.18002226652513
NIR,Sample 7,18.36522279470782
NIR,Sample 8,31.019081894208117
NIR,Sample 9,8.195375812339798
